,original sentence,corrected sentence,error indices,corrected indices,error-corr pair,error label,l1,Approximate level,split
10,"Hat kärleken är nästan omöjlig att se i denna historia men enligt mig så ser man den när man kollar närmare på hur lillasyster kan vara oberörd av sin storasyster i vissa situationer , som om det vore en hämnd .","Hatkärleken är nästan omöjlig att se i denna historia men enligt mig så ser man den när man kollar närmare på hur lillasyster kan vara oberörd av sin storasyster i vissa situationer , som om det vore en hämnd .",0-11,0-10,Hat kärleken--Hatkärleken,O-Comp,Turkiska,Avancerad,train
11,"Nu mera anses man vara klok nog att rösta i vuxen ålder på grund av att alla , oavsett yrke eller kön , har fått någon form av grundläggande utbildning som gör att man förstår världen bättre  . Och det är precis här argumenten för att sänka rösträtt åldersgränsen för är som starkast .","Numera anses man vara klok nog att rösta i vuxen ålder på grund av att alla , oavsett yrke eller kön , har fått någon form av grundläggande utbildning som gör att man förstår världen bättre  . Och det är precis här argumenten för att sänka rösträtt åldersgränsen för är som starkast .",0-6,0-5,Nu mera--Numera,O-Comp,Engelska,Avancerad,train
12,Tillslut räddar flickan sin mamma genom att berätta allt som har hänt och mamman får  sin egen form som en människa igen .,Till slut räddar flickan sin mamma genom att berätta allt som har hänt och mamman får  sin egen form som en människa igen .,0-7,0-8,Tillslut--Till slut,O-Comp,Dari,Avancerad,train
13,"Tillslut , i klimaxfasen  , då hade mamman blivit mördad av pappan och de andra om det inte varit flickan hade för .","Till slut , i klimaxfasen  , då hade mamman blivit mördad av pappan och de andra om det inte varit flickan hade för .",0-7,0-8,Tillslut--Till slut,O-Comp,Dari,Avancerad,train
14,Samtidigt den där kärlekssången som de båda sjöng när de längtade efter varandra .,Och så den där kärlekssången som de båda sjöng när de längtade efter varandra .,0-8,0-5,Samtidigt--Och så,L-W,Dari,Avancerad,train
15,"Tillsist , de har mycket kärlek till varandra och försöker rädda varandras liv och istället offra sig själva .","Till sist , de har mycket kärlek till varandra och försöker rädda varandras liv och istället offra sig själva .",0-7,0-8,Tillsist--Till sist,O-Comp,Dari,Avancerad,train
16,"Samma sak som när det gäller produktion av olika saker så gäller det även här att man plockar isär olika delar av produkten , studerar dem noggrant , drar slutsatser och sedan sätter samman alla delar till en färdig produkt som har en betydelse eller funktion .","Precis som när det gäller produktion av olika saker så gäller det även här att man plockar isär olika delar av produkten , studerar dem noggrant , drar slutsatser och sedan sätter samman alla delar till en färdig produkt som har en betydelse eller funktion .",0-8,0-5,Samma sak--Precis,L-W,"Dari, Persiska",Avancerad,train
17,Forårat var jag mammaledig och min mamma var här i tre månader .,Förra året var jag mammaledig och min mamma var här i tre månader .,0-6,0-9,Forårat--Förra året,O-Comp,Amhariska,Nybörjare,train
18,Social media marketing visar oss modenyheter varje dag och påverkar samhället mycket .,Marknadsföring i sociala medier visar oss modenyheter varje dag och påverkar samhället mycket .,0-21,0-30,Social media marketing--Marknadsföring i sociala medier,L-FL,Ryska,Avancerad,train
19,Dör för tycker jag att ni ska ge en bok .,Därför tycker jag att ni ska ge en bok .,0-6,0-5,Dör för--Därför,O-Comp,Tigrinska,Nybörjare,train
20,Några kläder gör att människor ser mer professionella ut eller känner sig mer bekväma .,En del kläder gör att människor ser mer professionella ut eller känner sig mer bekväma .,0-4,0-5,Några--En del,L-W,Spanska,Avancerad,train
21,Trots att det är mer bekvämt att köra bil är det mer hälsosamt att gå till fots eller att cykla .,Även om det är mer bekvämt att köra bil är det mer hälsosamt att gå till fots eller att cykla .,0-8,0-6,Trots att--Även om,L-W,Rumänska,Nybörjare,train
22,"Tillexempel , om jag dagligen åker till en borta plats långt , då kanske jag behöver köpa en bil .","Till exempel , om jag dagligen åker till en borta plats långt , då kanske jag behöver köpa en bil .",0-10,0-11,Tillexempel--Till exempel,O-Comp,"Badinani, Kurdiska",Nybörjare,train
23,Förresten kan det minska energianvändningen .,Och så kan det minska energianvändningen .,0-8,0-5,Förresten--Och så,L-W,Persiska,Nybörjare,train
24,Tillsist reste hon till Sverige .,Till sist reste hon till Sverige .,0-7,0-8,Tillsist--Till sist,O-Comp,Oromo,Fortsättning,train
25,Andra sätt ville hon förklara att man kan komma till ett bra liv genom olika utmaningar .,Å andra sidan ville hon förklara att man kan komma till ett bra liv genom olika utmaningar .,0-9,0-12,Andra sätt--Å andra sidan,L-W,Oromo,Fortsättning,train
26,Rätt och slätt vet du exakt att denna värld inte är realistisk .,Kort sagt vet du exakt att denna värld inte är realistisk .,0-13,0-8,Rätt och slätt--Kort sagt,L-W,Arabiska,Avancerad,train
27,På den tiden klappade någon på min axel och frågade mig om jag hade glömt att ta med min penna till skolan .,Då klappade någon på min axel och frågade mig om jag hade glömt att ta med min penna till skolan .,0-11,0-1,På den tiden--Då,L-W,Kinesiska,Nybörjare,train
28,"Efter som blev jag mycket chockad över att ni ska stänga biblioteket , och jag och min fru är mycket förbannade över det .","Därför blev jag mycket chockad över att ni ska stänga biblioteket , och jag och min fru är mycket förbannade över det .",0-8,0-5,Efter som--Därför,L-W,Persiska,Nybörjare,train
29,"Efter att Sigvard är skärpt och smart planerar han att Nadja och Jocke , hans gudson , ska föras ihop .","Eftersom Sigvard är skärpt och smart planerar han att Nadja och Jocke , hans gudson , ska föras ihop .",0-8,0-7,Efter att--Eftersom,L-W,Arabiska,Fortsättning,train
30,"Under den här tiden kan man hålla kontakt med sin familj , kärlek  och sina vänner på många olika sätt genom att vara medlem på alla sociala medieappar .","Då kan man hålla kontakt med sin familj , kärlek  och sina vänner på många olika sätt genom att vara medlem på alla sociala medieappar .",0-18,0-1,Under den här tiden--Då,L-W,Arabiska,Avancerad,train
31,Technology utveckling är ett tveeggat svärd som kan bidra till samhällets utveckling eller demontera det och det är ett personligt ansvar att välja .,Teknologiutvecklingen är ett tveeggat svärd som kan bidra till samhällets utveckling eller demontera det och det är ett personligt ansvar att välja .,0-20,0-20,Technology utveckling--Teknologiutvecklingen,L-FL,Arabiska,Avancerad,train
32,Technology utveckling är ett tveeggat svärd som kan bidra till samhällets utveckling eller demontera det och det är ett personligt ansvar att välja .,Teknologiutvecklingen är ett tveeggat svärd som kan bidra till samhällets utveckling eller demontera det och det är ett personligt ansvar att välja .,0-20,0-20,Technology utveckling--Teknologiutvecklingen,O-Comp,Arabiska,Avancerad,train
33,"För delar med tekniken är att livet blir enklare så att man kan göra mycket arbete snabbt , ta bort geografiska avstånd mellan människor och globalisera .","Fördelarna med tekniken är att livet blir enklare så att man kan göra mycket arbete snabbt , ta bort geografiska avstånd mellan människor och globalisera .",0-8,0-9,För delar--Fördelarna,O-Comp,"Arabiska, Engelska",Avancerad,train
34,Dessa dagar använder nästan alla i världen sociala medier för att kunna kommunicera med familj och vänner eller ha koll på nyheterna för att veta vad som händer i landet … sociala medier hjälper till att skicka ett starkt budskap till världen om vad som är rätt eller fel .,Nuförtiden använder nästan alla i världen sociala medier för att kunna kommunicera med familj och vänner eller ha koll på nyheterna för att veta vad som händer i landet … sociala medier hjälper till att skicka ett starkt budskap till världen om vad som är rätt eller fel .,0-10,0-9,Dessa dagar--Nuförtiden,L-W,Dari,Avancerad,train
35,"En annan del motsäger sig detta och tycker att alla svenskar måste tvingas att lämna ut sina DNA till polisen , annars kommer brottslingar att utnyttja det frivilliga registret och välja att inte lämna DNA till registret .","En del andra motsäger sig detta och tycker att alla svenskar måste tvingas att lämna ut sina DNA till polisen , annars kommer brottslingar att utnyttja det frivilliga registret och välja att inte lämna DNA till registret .",0-11,0-11,En annan del--En del andra,L-W,Arabiska,Avancerad,train
36,övrigt För övrigt avslutas texterna med en viktig visdom för livet .,Utöver detta övrigt avslutas texterna med en viktig visdom för livet .,0-9,0-11,övrigt För--Utöver detta,L-W,Arabiska,Avancerad,train
37,Tillslut bestämde de sig för att lämna hundvalparna på en hundgård men plötsligt sa jag att jag kan ta hand om valparna eftersom jag är ledig på sommaren och de blev jätteglada och tackade mig .,Till slut bestämde de sig för att lämna hundvalparna på en hundgård men plötsligt sa jag att jag kan ta hand om valparna eftersom jag är ledig på sommaren och de blev jätteglada och tackade mig .,0-7,0-8,Tillslut--Till slut,O-Comp,Dari,Fortsättning,train
38,Tillslut sov jag på soffan bredvid dem .,Till slut sov jag på soffan bredvid dem .,0-7,0-8,Tillslut--Till slut,O-Comp,Dari,Fortsättning,train
39,"Kaffet lukten fyllde hela stugan och steg till den lilla ön där borta och täckte allt gräs omkring , tror jag .","Kaffelukten fyllde hela stugan och steg till den lilla ön där borta och täckte allt gräs omkring , tror jag .",0-12,0-10,Kaffet lukten--Kaffelukten,L-Der,Arabiska,Fortsättning,train
40,"Kaffet lukten fyllde hela stugan och steg till den lilla ön där borta och täckte allt gräs omkring , tror jag .","Kaffelukten fyllde hela stugan och steg till den lilla ön där borta och täckte allt gräs omkring , tror jag .",0-12,0-10,Kaffet lukten--Kaffelukten,O-Comp,Arabiska,Fortsättning,train
41,där för blev det svårare för polisen att veta vad som hade hänt .  Sedan hade de hittat information från en person .,Därför blev det svårare för polisen att veta vad som hade hänt .  Sedan hade de hittat information från en person .,0-6,0-5,där för--Därför,O-Comp,Tigrinska,Fortsättning,train
42,I då tid hade familjen en stor betydelse för kärlek och respekt .,Förr hade familjen en stor betydelse för kärlek och respekt .,0-7,0-3,I då tid--Förr,L-W,Arabiska,Avancerad,train
43,I dåtid betydde familj personer som var släkt eller i ett äktenskap med varandra .,Förr i tiden betydde familj personer som var släkt eller i ett äktenskap med varandra .,0-6,0-11,I dåtid--Förr i tiden,L-W,"Engelska, Finska",Avancerad,train
44,Penning att är ett sätt att föra in pengar från brott i det ekonomiska systemet .,Penningtvätt är ett sätt att föra in pengar från brott i det ekonomiska systemet .,0-10,0-11,Penning att--Penningtvätt,O-Comp,Persiska,Avancerad,valid
45,"Framförallt för kvinnor är kläderna viktiga och har alltid varit betydelsefulla , också för att visa samt bevisa egen social status och rikedom .","Framför allt för kvinnor är kläderna viktiga och har alltid varit betydelsefulla , också för att visa samt bevisa egen social status och rikedom .",0-10,0-11,Framförallt--Framför allt,O-Comp,Italienska,Avancerad,valid
46,Tillsist var Sofia väldigt ledsen och hon ville fortsätta vara kompis med Fatima .,Till sist var Sofia väldigt ledsen och hon ville fortsätta vara kompis med Fatima .,0-7,0-8,Tillsist--Till sist,O-Comp,"Franska, Lingala, Swahili",Fortsättning,train
47,För föräldrarnas felaktiga beslut blev hon ett gatubarn .,På grund av föräldrarnas felaktiga beslut blev hon ett gatubarn .,0-2,0-10,För--På grund av,L-W,Bengali,Fortsättning,test
48,Tillslut får han höra sin mammas röst även om det inte var bra .,Till slut får han höra sin mammas röst även om det inte var bra .,0-7,0-8,Tillslut--Till slut,O-Comp,Bengali,Fortsättning,test
49,Basket klub hjälper mig att ha det underbart och jag är jätteglad att jag är en del av den platsen .,Basketklubben hjälper mig att ha det underbart och jag är jätteglad att jag är en del av den platsen .,0-10,0-12,Basket klub--Basketklubben,O-Comp,Assyriska,Nybörjare,test
50,Den del av människor har ett dilemma med hyresrätter .,Dessa människor har ett dilemma med hyresrätter .,0-9,0-4,Den del av--Dessa,L-W,"Arabiska, Engelska",Avancerad,test
51,Samhället systemet utvecklades och hjälpte till mer så att kvinnorna kunde försörja sig själva och leva ensamma med barn eller utan och papporna kunde göra på samma sätt .,Samhällssystemet utvecklades och hjälpte till mer så att kvinnorna kunde försörja sig själva och leva ensamma med barn eller utan och papporna kunde göra på samma sätt .,0-17,0-15,Samhället systemet--Samhällssystemet,L-Der,Arabiska,Avancerad,test
52,Samhället systemet utvecklades och hjälpte till mer så att kvinnorna kunde försörja sig själva och leva ensamma med barn eller utan och papporna kunde göra på samma sätt .,Samhällssystemet utvecklades och hjälpte till mer så att kvinnorna kunde försörja sig själva och leva ensamma med barn eller utan och papporna kunde göra på samma sätt .,0-17,0-15,Samhället systemet--Samhällssystemet,O-Comp,Arabiska,Avancerad,test
53,Hon förklarar att bland de svensktalande är väldigt många oroliga för svenskans framtid i Finland eftersom den sedan fem år tillbaka inte ansågs obligatorisk i studentexamen .,Hon förklarar att bland de svensktalande är väldigt många oroliga för svenskans framtid i Finland eftersom den sedan fem år tillbaka inte är obligatorisk i studentexamen .,138-143,138-139,ansågs--är,L-W,Dari,Avancerad,train
54,Saari säger att hon inte tror att svenskan försvinner men hon tycker däremot att dess betydelse i samhället kommer att försvagas .,Saari säger att hon inte tror att svenskan försvinner men hon tror däremot att dess betydelse i samhället kommer att försvagas .,62-67,62-65,tycker--tror,L-W,Dari,Avancerad,train
55,"Maria Tolppanen som har intervjuats anser att svenskan tar för stor plats i det finska samhället och hon kritiserar även den så kallade tvångssvenskan , alltså den obligatoriska svenskundervisningen i dem finska skolorna .","Maria Tolppanen som har intervjuats anser att svenskan tar för stor plats i det finska samhället och hon kritiserar även den så kallade tvångssvenskan , alltså den obligatoriska svenskundervisningen i de finska skolorna .",201-203,201-202,dem--de,L-W,Dari,Avancerad,train
56,Sedan uttalar hon att finländarna behöver inte svenska för att klara sig i det finska samhället men däremot behöver alla svenskar kunna finska för att klara sig i samhället .,Sedan förklarar hon att finländarna behöver inte svenska för att klara sig i det finska samhället men däremot behöver alla svenskar kunna finska för att klara sig i samhället .,6-12,6-14,uttalar--förklarar,L-W,Dari,Avancerad,train
57,"Han säger även att sannfinländarnas kritik mot tvångssvenskan inte har varit så framgångsrik , men på debattsidor debatterar de oftast språkfrågan eftersom de inte hittar på något annat att diskutera .","Han säger även att sannfinländarnas kritik mot tvångssvenskan inte har varit så framgångsrik , men på debattsidor debatterar de oftast språkfrågan eftersom de inte kommer på något annat att diskutera .",164-169,164-169,hittar--kommer,L-W,Dari,Avancerad,train
58,Sedan konstaterar hon att det finns människor som inte hört en levande människa tala svenska och att dem flesta i Finland tycker att det är meningslöst att studera det svenska språket .,Sedan konstaterar hon att det finns människor som inte hört en levande människa tala svenska och att de flesta i Finland tycker att det är meningslöst att studera det svenska språket .,101-103,101-102,dem--de,L-W,Dari,Avancerad,train
59,Avslutningsvis kan man konstatera följande : En del människor svarar att om undervisningen på svenska blir frivillig kommer den naturligtvis att tappa sin status på grund av ungdomarnas ovillighet .,Avslutningsvis kan man konstatera följande : En del människor svarar att om undervisningen i svenska blir frivillig kommer den naturligtvis att tappa sin status på grund av ungdomarnas ovillighet .,91-92,91-91,på--i,L-W,Dari,Avancerad,train
60,Nästan allt som vi gör eller har i våra liv är dit eller händer på grund av pengar .,Nästan allt som vi gör eller har i våra liv finns eller händer på grund av pengar .,44-49,44-48,är dit--finns,L-W,"Engelska, Serbiska",Fortsättning,train
61,"Om du inte trodde det var jätteviktigt , skulle du inte göra det .","Om du inte tyckte det var jätteviktigt , skulle du inte göra det .",11-16,11-16,trodde--tyckte,L-W,"Engelska, Serbiska",Fortsättning,train
62,Men det känns ändå lite konstigt att bara tänka om pengar .,Men det känns ändå lite konstigt att bara tänka på pengar .,48-49,48-49,om--på,L-W,"Engelska, Serbiska",Fortsättning,train
63,"Och det är kanske bra för oss , för om vi började att tänka på något så seriöst så tidigt i vårt liv så skulle vi sedan bli bittra när vi växer upp .","Och det är kanske bra för oss , för om vi började att tänka på något så allvarligt så tidigt i vårt liv så skulle vi sedan bli bittra när vi växer upp .",72-78,72-81,seriöst--allvarligt,L-W,"Engelska, Serbiska",Fortsättning,train
64,"Och det är kanske bra för oss , för om vi började att tänka på något så allvarligt så tidigt i vårt liv så skulle vi sedan bli beska när vi växer upp .","Och det är kanske bra för oss , för om vi började att tänka på något så allvarligt så tidigt i vårt liv så skulle vi sedan bli bittra när vi växer upp .",127-131,127-132,beska--bittra,L-W,"Engelska, Serbiska",Fortsättning,train
65,"Det kunde bli bättre för mig och andra att tänka lite mer som barn , att ta det lugnt och njuta av livet och allt som sker i det , inte bara tänka på pengar .","Det kunde vara bättre för mig och andra att tänka lite mer som barn , att ta det lugnt och njuta av livet och allt som sker i det , inte bara tänka på pengar .",10-12,10-13,bli--vara,L-W,"Engelska, Serbiska",Fortsättning,train
66,Förr i tiden kunde vi byta en sak till en annan .,Förr i tiden kunde vi byta en sak mot en annan .,34-37,34-36,till--mot,L-W,Polska,Fortsättning,train
67,"När man tittar på världen idag , kan man säga att det finns ingenting som är fri .","När man tittar på världen idag , kan man säga att det finns ingenting som är gratis .",77-79,77-82,fri--gratis,L-W,Polska,Fortsättning,train
68,"Morfar ville visa dem att det finns nånting som är viktigare , deras förändring t.ex. Jag tror att pengar är viktigt men vi behöver nånting mer .","Morfar ville visa dem att det finns nånting som är viktigare , deras förändring t.ex. Jag tycker att pengar är viktigt men vi behöver nånting mer .",90-93,90-95,tror--tycker,L-W,Polska,Fortsättning,train
69,En värld där människor bara springer för pengar är bedrövlig .,En värld där människor bara springer efter pengar är bedrövlig .,37-39,37-41,för--efter,L-W,Polska,Fortsättning,train
70,En värld där människor bara springer efter pengar är bedrövad .,En värld där människor bara springer efter pengar är bedrövlig .,53-60,53-61,bedrövad--bedrövlig,L-Der,Polska,Fortsättning,train
71,på andra sidan finns det människor som har så mycket pengar att de kan köpa halva världen .,Å andra sidan finns det människor som har så mycket pengar att de kan köpa halva världen .,0-1,0-0,på--Å,L-W,Polska,Fortsättning,train
72,Nu och förr har pengar stor betydelse i våra liv .,Nu liksom förr har pengar stor betydelse i våra liv .,3-5,3-8,och--liksom,L-W,Somaliska,Fortsättning,train
73,Nu liksom då har pengar stor betydelse i våra liv .,Nu liksom förr har pengar stor betydelse i våra liv .,10-11,10-13,då--förr,L-W,Somaliska,Fortsättning,train
74,Nu liksom förr är pengar stor betydelse i våra liv .,Nu liksom förr har pengar stor betydelse i våra liv .,15-16,15-17,är--har,L-W,Somaliska,Fortsättning,train
75,Nu liksom förr har pengars stor betydelse i våra liv .,Nu liksom förr har pengar stor betydelse i våra liv .,19-25,19-24,pengars--pengar,L-W,Somaliska,Fortsättning,train
76,Nu liksom förr har pengar mycket betydelse i våra liv .,Nu liksom förr har pengar stor betydelse i våra liv .,26-31,26-29,mycket--stor,L-W,Somaliska,Fortsättning,train
77,Jag kan ta några exempel av betydelsen av pengar .,Jag kan ta några exempel på betydelsen av pengar .,25-26,25-26,av--på,L-W,Somaliska,Fortsättning,train
78,"För det första går vi i skolan från dagsskolan till olika nivåer för att vi ska hitta ett jobb , sen får vi lön .","För det första går vi i skolan från förskolan till olika nivåer för att vi ska hitta ett jobb , sen får vi lön .",36-45,36-44,dagsskolan--förskolan,L-Der,Somaliska,Fortsättning,train
79,"För det första går vi i skolan från förskolan till olika nivåer för att vi ska hitta ett jobb , sen tjänar vi lön .","För det första går vi i skolan från förskolan till olika nivåer för att vi ska hitta ett jobb , sen får vi lön .",100-105,100-102,tjänar--får,L-W,Somaliska,Fortsättning,train
80,Och där efter köper vi nästan allt vi behöver .,Och därefter köper vi nästan allt vi behöver .,4-12,4-11,där efter--därefter,O-Comp,Somaliska,Fortsättning,train
81,För det andra är det nyckeln av livet .,För det andra är det nyckeln till livet .,29-30,29-32,av--till,L-W,Somaliska,Fortsättning,train
82,Jag menar att om vi har önskemål kan vi göra nånting utan pengar .,Jag menar att om vi vill kan vi göra nånting utan pengar .,20-31,20-23,har önskemål--vill,L-W,Somaliska,Fortsättning,train
83,Men pengarna är inte alls .,Men pengarna är inte allt .,21-24,21-24,alls--allt,L-W,Somaliska,Fortsättning,train
84,Innan trädet blev borta fick de fars äpplen och hans fru lagade saft och mos av äpplena .,Innan trädet var borta fick de fars äpplen och hans fru lagade saft och mos av äpplena .,13-16,13-15,blev--var,L-W,Somaliska,Fortsättning,train
85,Så jag måste göra allt för att jag ska kunna uppnå det en dag .,Så jag måste göra allt för att jag ska kunna behärska det en dag .,45-49,45-52,uppnå--behärska,L-W,Somaliska,Fortsättning,train
86,För två årsen fick jag mitt nuvarande jobb trots att jag inte kan språket så bra .,För två år sen fick jag mitt nuvarande jobb trots att jag inte kan språket så bra .,8-12,8-13,årsen--år sen,O-Comp,Somaliska,Fortsättning,train
87,Men jag bestämde mig för att hänga ihop att både studera och jobba .,Men jag bestämde mig för att kombinera att både studera och jobba .,29-38,29-37,hänga ihop--kombinera,L-W,Somaliska,Fortsättning,train
88,Men jag bestämde mig för att kombinera att båda studera och jobba .,Men jag bestämde mig för att kombinera att både studera och jobba .,43-46,43-46,båda--både,L-Der,Somaliska,Fortsättning,train
89,Det är svårt ibland men det kommer inte på engång .,Det är svårt ibland men det kommer inte på en gång .,43-48,43-49,engång--en gång,O-Comp,Somaliska,Fortsättning,train
90,Slutligen finns det nånting som du tror är småsaker och så förstör du dem .,Slutligen finns det saker som du tror är småsaker och så förstör du dem .,20-26,20-24,nånting--saker,L-W,Somaliska,Fortsättning,train
91,Slutligen finns det saker som du tror är små saker och så förstör du dem .,Slutligen finns det saker som du tror är småsaker och så förstör du dem .,41-49,41-48,små saker--småsaker,O-Comp,Somaliska,Fortsättning,train
92,"I Norge är bokmål och nynorska två officiella former av norska språket , och i Finland är båda finska och svenska officiella språk .","I Norge är bokmål och nynorska två officiella former av norska språket , och i Finland är både finska och svenska officiella språk .",90-93,90-93,båda--både,L-Der,Persiska,Avancerad,train
93,"Texten "" Svenskan tynar i Finland "" ( Forskning & framsteg 2009:2 ) , som är skriven av Cecilia Christner , beskriver Finlands och finländarnas ställning till svenska i finländska skolor .","Texten "" Svenskan tynar i Finland "" ( Forskning & framsteg 2009:2 ) , som är skriven av Cecilia Christner , beskriver Finlands och finländarnas inställning till svenska i finländska skolor .",144-152,144-154,ställning--inställning,L-Der,Persiska,Avancerad,train
94,"Författaren börjar med att beskriva den långa Finland , Sverige historien och hur Finland gång i tiden en var en del av Sverige , vilket är anledningen till varför det finns svensktalande i Finland idag .","Författaren börjar med att beskriva den långa Finland–Sverige-historien och hur Finland gång i tiden en var en del av Sverige , vilket är anledningen till varför det finns svensktalande i Finland idag .",46-72,46-70,"Finland , Sverige historien--Finland–Sverige-historien",O-Comp,Persiska,Avancerad,train
95,"Cecilia Christner skriver om hur det svenska språket i skolorna blir kallat tvångsvenska samtidigt som svenska har blivit impopulärt i Finland , och detta har försvagat det svenska språket i det finska samhället .","Cecilia Christner skriver om hur det svenska språket i skolorna blir kallat tvångssvenska samtidigt som svenska har blivit impopulärt i Finland , och detta har försvagat det svenska språket i det finska samhället .",76-87,76-88,tvångsvenska--tvångssvenska,L-Der,Persiska,Avancerad,train
96,"I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren dem tre olika inställningar som finns till svenska i Finland .","I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren de tre olika inställningar som finns till svenska i Finland .",162-164,162-163,dem--de,L-W,Persiska,Avancerad,train
97,"I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren de tre olika ställningar som finns till svenska i Finland .","I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren de tre olika inställningar som finns till svenska i Finland .",175-185,175-187,ställningar--inställningar,L-Der,Persiska,Avancerad,train
98,"I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren de tre olika inställningar som finns om svenska i Finland .","I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren de tre olika inställningar som finns till svenska i Finland .",199-200,199-202,om--till,L-W,Persiska,Avancerad,train
99,"I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren de tre olika inställningar som finns till svenska inom Finland .","I en annan text , "" Tre röster om svenskans ställning i Finland "" ( Parnass 2013:3 ) , som är skriven av författaren Catharina Söderbergh , beskriver författaren de tre olika inställningar som finns till svenska i Finland .",212-215,212-212,inom--i,L-W,Persiska,Avancerad,train
100,Catharina börjar med att beskriva Marie Tolppanens ( som är en politiker inom Finlands riksdag ) åsikt om svenska .,Catharina börjar med att beskriva Marie Tolppanens ( som är en politiker i Finlands riksdag ) åsikt om svenska .,73-76,73-73,inom--i,L-W,Persiska,Avancerad,train
101,Marie Tolppanen tycker också att Finlandsvenskor har för stor makt i Finland och att den borde minskas .,Marie Tolppanen tycker också att finlandssvenskar har för stor makt i Finland och att den borde minskas .,33-47,33-48,Finlandsvenskor--finlandssvenskar,L-Der,Persiska,Avancerad,train
102,"Texten "" Norge mot Noreg "" är en text från Språkstidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .","Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .",43-57,43-56,Språkstidningen--Språktidningen,L-Der,Persiska,Avancerad,train
103,"Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språk situation för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .","Texten "" Norge mot Noreg "" är en text från Språktidningen 2009:3 av författaren Andreas Hermansson som beskriver språksituationen för Norges två största språk norskt bokmål och nynorska som är ett minoritetsspråk i Norge .",113-127,113-128,språk situation--språksituationen,O-Comp,Persiska,Avancerad,train
